nombre,descripcion,duracion_minutos,nivel,capacidad_maxima,estado
Check High,Always question cold outside edge food stuff alone buy little by create thing together blood very.,90,Principiante,26,0
Add Include,Speech relationship manager some wrong manage participant without.,116,Avanzado,18,1
Far Song,Life knowledge against end benefit nature dream town of admit risk carry four PM.,167,Intermedio,24,0
Bit Politics,Police indicate physical government score beautiful door result artist car hair bag can economy.,152,Principiante,15,0
See A,Today sea cut grow star drug perhaps dinner join fish use seek.,99,Avanzado,11,1
Tend Force,Common how wrong gun court expert song trial almost already.,90,Principiante,35,0
Prepare Middle,Police benefit anything walk eight teach character vote image more interview establish.,55,Principiante,42,1
Charge Over,Clear wear hotel Mr someone challenge fire yard toward story always already.,123,Avanzado,34,0
Husband Quite,Building early fact participant college step mention player.,125,Intermedio,29,0
Season Lot,Analysis sport half tough mission believe summer fight involve.,161,Avanzado,50,1
Long Conference,Star left care kid research build yeah medical community could property method difference.,37,Intermedio,41,1
Turn Wind,Society card fill view father stage somebody share room speech throw these once item send ball.,127,Intermedio,38,1
Player Effect,Its attention pay meet traditional station home space difficult will.,97,Intermedio,46,1
Receive Show,Report class world become area sister fish election anyone current lot player.,153,Intermedio,43,1
Experience Believe,Instead free teach piece short form building ground reveal ten population miss important ability itself.,31,Avanzado,22,1
Task Provide,Partner agent argue part race nature financial letter learn push cultural.,54,Principiante,43,0
Now Shake,Occur will town soldier goal any single newspaper require state second despite.,94,Intermedio,45,0
Late Stand,Will hear fast leg Mrs compare lay.,93,Principiante,40,0
Statement Live,Management heavy seat country out baby water ask a significant sport.,161,Principiante,43,1
Number Available,Want require respond possible speech show fast data husband where quite road.,158,Avanzado,11,1
Anything Attorney,Without opportunity real manage bar choose yes fear energy worker church thousand capital sell machine call.,45,Principiante,13,1
Return Artist,Put present now site smile discover ten listen floor return rate them natural each type.,96,Avanzado,48,0
Raise Work,So power social list discussion actually research garden staff despite class challenge particularly control power.,37,Avanzado,27,0
But Receive,Science talk threat such environment couple three our subject personal maintain.,46,Avanzado,14,1
Experience Artist,Edge argue beautiful kind forget probably you would wish.,32,Avanzado,22,0
Wrong Call,Analysis gas begin think bar individual agreement yard government.,133,Avanzado,27,0
Whom Sign,Professor pressure nature clear state environmental question away material cost program.,74,Intermedio,18,0
Practice Song,Many gun involve build around word section those great day indeed.,155,Avanzado,40,0
Doctor Address,Week especially as concern short yes now.,105,Avanzado,18,1
Safe During,Mission quality state part major attention officer go speak drop message.,57,Principiante,45,1
Player Perhaps,Include opportunity soldier ground read citizen management become.,62,Principiante,32,1
Environmental Deal,Create up already part box artist score its fish will specific.,77,Avanzado,34,0
About Sign,Various smile hundred director national box every describe current born why marriage glass science just.,55,Intermedio,43,1
Only Little,Learn hope world state point already according include from fly both natural late kid while my.,116,Intermedio,18,0
Call Issue,Choice director road me prevent car pressure.,74,Avanzado,38,1
Ever Wrong,Recognize election despite continue above few society pretty property discussion news senior.,78,Intermedio,20,1
Indeed Anyone,List can low film similar defense debate little region exist.,119,Intermedio,12,1
Rise Support,Every try myself different same risk particular daughter music coach piece trial push.,34,Intermedio,38,0
Red Relate,Animal shoulder suggest film watch present school now reveal recognize because hair provide believe.,47,Principiante,49,1
Teacher Up,Lot exist color mean red watch she.,113,Principiante,24,1
Instead Anything,Why place measure free identify report heavy sure physical customer charge writer.,85,Avanzado,25,1
Worry Election,Popular image play cause air effort have could account so summer watch upon maintain memory.,163,Intermedio,30,0
Live Business,Drop keep set career bring sit woman develop sister detail ok ready inside story degree there.,174,Intermedio,23,0
Include Letter,Buy go trip perform result share pattern feel too data fast space culture back commercial.,39,Intermedio,30,0
Standard Debate,Lose enter head phone source tree explain effect once fear and.,98,Avanzado,28,1
Same Happen,Clearly sea worker low including wonder right move employee quickly east bank author why institution interest.,96,Principiante,19,0
New Great,Open yourself hour note summer brother high share.,108,Avanzado,15,0
President Work,Peace simple station help artist goal only particularly make moment particularly others.,34,Avanzado,18,1
Remain Audience,Policy so idea establish well scene social health.,116,Avanzado,46,0
Notice Rule,Account factor table success enter between ball guy best yourself concern necessary.,161,Intermedio,45,0
Everything Card,Kind available support very fact pay newspaper smile serve smile relationship Mr tax.,131,Intermedio,34,1
Position Whom,Smile others age station future capital camera rest conference which.,116,Avanzado,48,1
Detail Space,Less very imagine management young nice ball number guy maintain series with.,82,Principiante,34,0
Soon Shoulder,Growth training rich toward tree stage method blood forward option performance decision loss.,73,Intermedio,25,0
Use Near,Evening mission image budget interview sort method.,84,Intermedio,10,0
Firm Maintain,Sell reduce foreign popular change everyone performance action agent be together everything rich letter skin school.,57,Avanzado,18,1
Seem Peace,Particularly report nothing happy trouble hold because take better try though about hard sound on.,119,Avanzado,41,0
Page Image,Recognize interesting player begin budget none month at too network consumer.,37,Avanzado,40,0
Including Yes,Figure trade follow audience figure assume those.,117,Intermedio,47,0
Item The,Heart staff face buy growth employee safe least hard.,87,Principiante,37,1
Use Least,Wrong such election certain must shake dream travel.,93,Intermedio,36,0
Travel Beautiful,She cut perform among defense make type head of particularly job audience system.,120,Avanzado,36,0
Should Affect,Begin kid between remember because sing politics education particularly.,126,Principiante,28,0
Hospital Right,Speak beyond rate media best well like project a reflect speech read.,147,Principiante,43,1
Goal Training,Arm table data moment four its Mrs against magazine similar coach.,34,Intermedio,11,1
Back Pick,Perhaps pass like turn citizen short baby project can.,129,Principiante,43,1
Sport Build,Thousand if central part author laugh likely color.,131,Intermedio,18,1
Still Piece,Set professional heart ask serve policy decade reflect lose beyond food.,138,Intermedio,41,1
Owner Agent,Cell sit act water collection toward organization hospital natural series particular show.,119,Avanzado,36,1
Despite Relate,Manager thing technology over organization prepare art society authority.,147,Principiante,45,1
City With,Second move far this firm benefit do policy travel identify last rule magazine.,99,Avanzado,48,1
More Wrong,That natural list strong evidence campaign he wish Republican newspaper lose first represent remember listen radio.,120,Principiante,27,0
Mention Partner,Her court fly among put wrong unit others.,45,Avanzado,32,1
Company Current,Mrs wish short under reduce change market beat matter.,101,Principiante,24,1
Whether Kind,Leg win particularly room whatever organization trip far north between.,117,Avanzado,11,1
Scene Yourself,Financial entire carry trial bank personal include white step city total blue continue change you.,48,Principiante,36,1
Us Task,Future political to population number commercial set six agreement.,141,Intermedio,23,1
American Man,Summer edge catch treatment everything line age draw imagine here.,127,Intermedio,32,1
Send Hand,Recent prove hundred both manage professional capital stage hot.,139,Intermedio,34,1
By Shake,Responsibility radio interview season without physical professional anything continue during doctor worry five.,30,Avanzado,41,1
Society Way,Worker gun lose ago rate long loss certain suggest people realize forget strong past.,44,Avanzado,43,0
A State,Already son often generation task role meet figure thousand bill.,119,Principiante,38,1
Catch Describe,Day campaign weight color brother little past cell feel most report need manager.,153,Principiante,38,1
East Early,And thank work force situation begin five Republican themselves figure buy pretty.,31,Intermedio,13,0
Speak Mind,School must consider beyond often really we clearly activity voice eat thus site turn kind.,126,Principiante,43,0
Prepare Sense,Them system security her generation station enjoy ball.,180,Principiante,48,0
Word Visit,Consumer provide yes hard since method hospital now trip.,173,Intermedio,30,1
I Put,Develop in by police collection bring capital someone themselves choose group question.,41,Principiante,22,0
So Brother,Mind parent out knowledge poor election public leave wear general see executive song language service.,119,Avanzado,15,0
Bill Receive,Present image southern person plan ever find hit him.,139,Principiante,32,1
Accept Add,Current month visit once performance check sure director parent anything property whatever model middle purpose here.,176,Principiante,10,0
Mission Prevent,Process speech sing guess instead catch represent.,99,Principiante,12,1
Process Message,Start share relationship fine what hard realize newspaper draw get police work.,76,Principiante,43,1
Popular Experience,Image never someone our people small lead imagine.,75,Principiante,45,0
Half Democratic,Grow response when bar measure as same whether care.,153,Intermedio,19,1
He Clearly,Practice business someone bar fast miss this notice performance.,173,Avanzado,17,0
Than Tend,Yet prove would new blood source move although save central official wife.,59,Intermedio,44,1
Ever Exist,Support room believe character food name difference purpose student.,160,Avanzado,33,0
Carry Beat,Present blood save little to wear safe he institution student conference occur.,84,Intermedio,27,1
Degree Movement,Gun study set hair somebody moment technology task group author rather whom front those threat.,149,Avanzado,33,1
Chance Find,Skill to life traditional sing land during west.,170,Principiante,32,1
Money Defense,Discussion painting together interesting seven reality apply traditional door yourself.,136,Avanzado,12,0
Example Food,Western behind machine realize language memory serious stage necessary career.,149,Principiante,36,1
Difficult Always,Entire sit music happy certain brother property.,126,Intermedio,37,0
Effect Nation,Black arrive approach interview leave college because either wish do bit minute.,114,Principiante,46,1
Young Continue,Get great even smile break find small environment.,93,Intermedio,47,0
Able Will,Media institution into analysis six example cell tend.,133,Intermedio,30,1
Prepare Test,Happy him police PM ten field fact star.,175,Principiante,33,0
Carry Represent,Finally that only any half word make have TV home respond.,95,Principiante,14,0
Case Action,Human work several attorney time for year on news past magazine must someone once book seem.,54,Intermedio,48,1
Why Strategy,Human drive seat first cover phone sort list season worry leg energy deal cup subject.,49,Principiante,46,1
Star General,Whether argue Republican quickly finally its society term agree federal structure possible film positive budget piece.,58,Avanzado,42,1
General Voice,Try discussion reach voice my explain then partner reach go management sea authority large responsibility manage.,45,Principiante,26,1
Tell Official,Say fill can camera how probably most rich.,41,Principiante,39,1
Relate Third,Edge peace write around too example matter best truth.,159,Intermedio,14,0
Nearly Her,Travel during positive hand product late wish necessary couple.,161,Intermedio,34,0
Speak Development,Trade ahead trip we yet however attorney within feeling provide method dark.,66,Intermedio,47,1
Hundred Catch,Leader lead term toward size development sister like.,35,Intermedio,22,1
Out Again,Hospital person doctor think state thousand always forget oil.,150,Avanzado,48,1
Seem A,Dog sell though series fly book finish successful early.,57,Intermedio,22,0
Team Let,Pull state contain why politics phone case season.,48,Avanzado,22,1
Lay Record,I partner parent play result wish hundred account not Congress guy.,139,Intermedio,40,0
Hundred Must,Hard young build job its sometimes structure two whom begin capital rock why.,130,Avanzado,35,0
Human Financial,Remain what common able quickly this establish daughter sound commercial reduce.,153,Intermedio,15,0
Citizen Wall,Store nothing stop vote artist discover avoid.,94,Principiante,49,1
Set Play,American focus future teacher discover nor low law.,31,Intermedio,12,0
Fall Moment,Price drop majority owner senior guess able process create too too run chair when alone.,145,Principiante,10,1
Sometimes Particularly,Agree something city second season fire Congress agency important.,37,Intermedio,10,0
Start Individual,Mind increase pressure item star set cultural matter popular trial future avoid believe know sense.,104,Principiante,47,0
International Reason,Subject bed even hear since writer compare national thus visit again tell.,106,Principiante,33,0
Building Pretty,Worker report item without draw mouth old question.,76,Intermedio,45,1
Education Son,Ever up popular order you low thank shake it who ten major evening.,54,Intermedio,31,0
Word Have,Boy tax month maintain enjoy gas make interesting force commercial base cultural hear.,103,Principiante,19,1
Daughter Right,Under daughter example reason person she policy box section marriage ground mind again if very.,117,Intermedio,32,1
Knowledge Reality,Civil certain heart human hold continue none interesting.,124,Avanzado,43,0
Several All,Expert relate talk throughout position wish new whole under laugh organization lot during.,161,Avanzado,27,0
Life Skill,Maybe like traditional her pull five wide less politics.,42,Intermedio,10,1
Place Traditional,Until improve matter woman class wonder exactly.,50,Intermedio,45,0
Discussion Blood,Bit ok reason may item usually success allow energy health hold list song buy.,96,Principiante,47,1
Take Third,Of employee mean inside impact gun simply where reveal.,160,Intermedio,22,0
Bit Fact,Need note yourself buy state personal picture store TV billion performance hotel.,113,Avanzado,41,1
Friend Especially,Paper former building line together direction including window huge others cup.,59,Avanzado,43,1
Reflect Draw,Condition between another finish ball none matter.,123,Intermedio,23,0
Hundred Themselves,Cup may politics early quickly do many top organization with.,175,Avanzado,24,0
Return Lose,Claim test two reflect lay capital citizen true who property environmental parent summer moment collection.,103,Avanzado,10,0
Manage Friend,Page behind poor push energy firm sit along.,87,Principiante,47,0
Team Expert,This fear hit activity under instead of sister sometimes way research president discover.,56,Principiante,39,0
Trial Despite,Major necessary remain computer performance professor board military their Republican table heart range write stay.,128,Avanzado,41,0
Special Side,Model space sure bill officer reality value drug throw describe.,47,Principiante,15,0
Town Production,Blue however behind ago heavy through follow deep him apply finish radio race wind tonight.,87,Intermedio,40,0
Oil Whom,Art radio should radio baby he concern animal reflect face when western.,48,Avanzado,14,1
